NAME,state,county,block,tract,GEOID20,Pre K (Ages 0-5),Elementary (Ages 6-12),Teenage (Ages 13-18),18 and younger,Young Adult (Ages 19-29),Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80 and older,Ages 55+,Total Population,Total Population Under 18,Total Households,Households w/ One or More Under 18,Households w/ One or More 65 and Over,Total Population - For Hispanic or Latino,Total Population Non-Hispanic or Latino,Total Population Hispanic or Latino,Total Population Race,Total Population - White,Total Population - Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Some Other Race,Two or More Races - P3 Table,Two or More Races,Female ages something,ALAND20,AWATER20,total_sq_miles,Pop. Density,Pop. Density - Pre K (Ages 0-5),Pop. Density - Elementary (Ages 6-12),Pop. Density - Teenage (Ages 13-18),Pop. Density - 18 and younger,Pop. Density - Young Adult (Ages 19-29),Pop. Density - Ages 30-39,Pop. Density - Ages 40-49,Pop. Density - Ages 50-59,Pop. Density - Ages 60-69,Pop. Density - Ages 70-79,Pop. Density - Ages 80 and older,Pop. Density - Ages 55+,Pop. Density - Total Population,Pop. Density - Total Population Under 18,Pop. Density - Total Households,Pop. Density - Households w/ One or More Under 18,Pop. Density - Households w/ One or More 65 and Over,Pop. Density - Total Population Non-Hispanic or Latino,Pop. Density - Hispanic or Latino,Pop. Density - Total Population Race,Pop. Density - White,Pop. Density - Black or African American,Pop. Density - American Indian or Alaska Native,Pop. Density - Asian,Pop. Density - Native Hawaiian or Other Pacific Islander,Pop. Density - Some Other Race,Pop. Density - Two or More Races
"Block 2023, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2023,001103,080770011032023,5,5,7,17,8,11,6,6,7,0,1,10,56,16,20,7,7,56,42,14,56,44,0,0,0,0,5,7,7,2,26382.0,0.0,0.0101860902,5497.7,490.9,490.9,687.2,1668.9,785.4,1079.9,589.0,589.0,687.2,0.0,98.2,981.7,5497.7,1570.8,1963.5,687.2,687.2,4123.3,1374.4,5497.7,4319.6,0.0,0.0,0.0,0.0,490.9,687.2
"Block 2024, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2024,001103,080770011032024,0,5,1,6,11,10,0,1,12,1,4,18,45,6,16,2,8,45,39,6,45,43,0,0,0,0,0,2,2,0,22605.0,0.0,0.0087277905,5155.9,0.0,572.9,114.6,687.5,1260.3,1145.8,0.0,114.6,1374.9,114.6,458.3,2062.4,5155.9,687.5,1833.2,229.2,916.6,4468.5,687.5,5155.9,4926.8,0.0,0.0,0.0,0.0,0.0,229.2
"Block 2025, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2025,001103,080770011032025,0,4,1,5,1,13,2,4,3,0,0,7,28,5,11,1,7,28,23,5,28,24,0,0,0,0,0,4,4,1,14148.0,0.0,0.0054625428,5125.8,0.0,732.3,183.1,915.3,183.1,2379.8,366.1,732.3,549.2,0.0,0.0,1281.5,5125.8,915.3,2013.7,183.1,1281.5,4210.5,915.3,5125.8,4393.6,0.0,0.0,0.0,0.0,0.0,732.3
"Block 2027, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2027,001103,080770011032027,0,1,0,1,1,0,2,1,1,0,0,2,6,1,2,0,0,6,4,2,6,0,2,0,0,0,0,4,4,0,3005.0,0.0,0.0011602305,5171.4,0.0,861.9,0.0,861.9,861.9,0.0,1723.8,861.9,861.9,0.0,0.0,1723.8,5171.4,861.9,1723.8,0.0,0.0,3447.6,1723.8,5171.4,0.0,1723.8,0.0,0.0,0.0,0.0,3447.6
"Block 2028, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2028,001103,080770011032028,27,28,16,71,31,30,14,48,52,24,4,103,273,68,107,27,34,273,248,25,273,247,3,1,0,0,12,10,10,5,207367.0,0.0,0.0800643987,3409.8,337.2,349.7,199.8,886.8,387.2,374.7,174.9,599.5,649.5,299.8,50.0,1286.5,3409.8,849.3,1336.4,337.2,424.7,3097.5,312.2,3409.8,3085.0,37.5,12.5,0.0,0.0,149.9,124.9
"Block 2029, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2029,001103,080770011032029,5,9,1,15,13,11,10,13,2,5,1,20,70,14,27,4,10,70,56,14,70,60,0,0,0,0,4,6,6,2,32519.0,0.0,0.0125555859,5575.2,398.2,716.8,79.6,1194.7,1035.4,876.1,796.5,1035.4,159.3,398.2,79.6,1592.9,5575.2,1115.0,2150.4,318.6,796.5,4460.2,1115.0,5575.2,4778.7,0.0,0.0,0.0,0.0,318.6,477.9
"Block 2031, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2031,001103,080770011032031,1,7,1,9,7,14,8,9,5,5,1,18,58,9,28,8,14,58,58,0,58,58,0,0,0,0,0,0,0,1,31498.0,0.0,0.0121613778,4769.2,82.2,575.6,82.2,740.0,575.6,1151.2,657.8,740.0,411.1,411.1,82.2,1480.1,4769.2,740.0,2302.4,657.8,1151.2,4769.2,0.0,4769.2,4769.2,0.0,0.0,0.0,0.0,0.0,0.0
"Block 2032, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2032,001103,080770011032032,4,4,8,16,6,6,5,3,19,2,2,24,59,14,16,5,3,59,48,11,59,46,2,0,0,0,2,9,9,2,23832.0,0.0,0.0092015352,6412.0,434.7,434.7,869.4,1738.8,652.1,652.1,543.4,326.0,2064.9,217.4,217.4,2608.3,6412.0,1521.5,1738.8,543.4,326.0,5216.5,1195.5,6412.0,4999.2,217.4,0.0,0.0,0.0,217.4,978.1
"Block 2035, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2035,001103,080770011032035,4,7,5,16,14,16,8,8,15,5,0,22,82,14,35,7,15,82,77,5,82,77,0,0,0,0,5,0,0,1,28823.0,0.0,0.0111285603,7368.4,359.4,629.0,449.3,1437.7,1258.0,1437.7,718.9,718.9,1347.9,449.3,0.0,1976.9,7368.4,1258.0,3145.1,629.0,1347.9,6919.1,449.3,7368.4,6919.1,0.0,0.0,0.0,0.0,449.3,0.0
"Block 2036, Block Group 2, Census Tract 11.03, Mesa County, Colorado",08,077,2036,001103,080770011032036,0,2,4,6,4,6,16,1,2,12,2,16,49,6,25,6,7,49,43,6,49,44,0,0,0,0,3,2,2,0,22131.0,0.0,0.0085447791,5734.5,0.0,234.1,468.1,702.2,468.1,702.2,1872.5,117.0,234.1,1404.4,234.1,1872.5,5734.5,702.2,2925.8,702.2,819.2,5032.3,702.2,5734.5,5149.3,0.0,0.0,0.0,0.0,351.1,234.1
