NAME,Total Population,Total Population Under 18,Total Households,Households w/ One or More Under 18,Households w/ One or More 65 and Over,Total Population - For Hispanic or Latino,Total Population Non-Hispanic or Latino,Total Population Hispanic or Latino,Total Population Race,Total Population - White,Total Population - Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Some Other Race,Two or More Races - P3 Table,Two or More Races,Female ages something,state,county,tract,block,GEOID20,18 and younger,Ages 19-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80 and older,ALAND20,AWATER20,total_sq_miles,Pop. Density,Pop. Density - 18 and younger,Pop. Density - Ages 30-39,Pop. Density - Ages 40-49,Pop. Density - Ages 50-59,Pop. Density - Ages 60-69,Pop. Density - Ages 70-79,Pop. Density - Ages 80 and older,Pop. Density - Total Population,Pop. Density - Total Population Under 18,Pop. Density - Total Households,Pop. Density - Households w/ One or More Under 18,Pop. Density - Households w/ One or More 65 and Over,Pop. Density - Total Population Non-Hispanic or Latino,Pop. Density - Total Population Hispanic or Latino,Pop. Density - Total Population Race,Pop. Density - Total Population - White,Pop. Density - Total Population - Black or African American,Pop. Density - American Indian or Alaska Native,Pop. Density - Asian,Pop. Density - Native Hawaiian or Other Pacific Islander,Pop. Density - Some Other Race,Pop. Density - Two or More Races
"Block 4003, Block Group 4, Census Tract 36.03, Denver County, Colorado",37,8,19,10,0,37,25,12,37,18,11,0,1,0,3,4,4,0,08,031,003603,4003,080310036034003,8,9,1,10,4,5,0,0,14669,0,0.0056637009,6532.8,1412.5,176.6,1765.6,706.3,882.8,0.0,0.0,6532.8,1412.5,3354.7,1765.6,0.0,4414.1,2118.8,6532.8,3178.1,1942.2,0.0,176.6,0.0,529.7,706.3
"Block 4004, Block Group 4, Census Tract 36.03, Denver County, Colorado",25,9,8,3,1,25,22,3,25,17,2,0,0,0,4,2,2,0,08,031,003603,4004,080310036034004,9,11,0,3,0,1,1,0,14733,0,0.0056884113,4394.9,1582.2,0.0,527.4,0.0,175.8,175.8,0.0,4394.9,1582.2,1406.4,527.4,175.8,3867.5,527.4,4394.9,2988.5,351.6,0.0,0.0,0.0,703.2,351.6
"Block 4006, Block Group 4, Census Tract 36.03, Denver County, Colorado",54,5,24,2,10,54,46,8,54,33,7,1,0,0,5,8,8,3,08,031,003603,4006,080310036034006,5,1,33,3,2,8,1,1,14736,0,0.0056895695999999996,9491.1,878.8,5800.1,527.3,351.5,1406.1,175.8,175.8,9491.1,878.8,4218.2,351.5,1757.6,8085.0,1406.1,9491.1,5800.1,1230.3,175.8,0.0,0.0,878.8,1406.1
"Block 4007, Block Group 4, Census Tract 36.03, Denver County, Colorado",59,8,21,12,5,59,48,11,59,34,12,0,1,0,1,11,11,0,08,031,003603,4007,080310036034007,9,7,13,16,7,7,0,0,14145,0,0.0054613845,10803.1,1647.9,2380.3,2929.7,1281.7,1281.7,0.0,0.0,10803.1,1464.8,3845.2,2197.2,915.5,8789.0,2014.1,10803.1,6225.5,2197.2,0.0,183.1,0.0,183.1,2014.1
"Block 4008, Block Group 4, Census Tract 36.03, Denver County, Colorado",40,7,13,3,5,40,34,6,40,27,10,0,3,0,0,0,0,0,08,031,003603,4008,080310036034008,7,5,13,9,0,4,2,0,14101,0,0.0054443961,7347.0,1285.7,2387.8,1653.1,0.0,734.7,367.4,0.0,7347.0,1285.7,2387.8,551.0,918.4,6245.0,1102.1,7347.0,4959.2,1836.8,0.0,551.0,0.0,0.0,0.0
"Block 4009, Block Group 4, Census Tract 36.03, Denver County, Colorado",47,10,28,2,1,47,47,0,47,42,4,0,1,0,0,0,0,1,08,031,003603,4009,080310036034009,10,4,6,15,1,4,2,5,14652,0,0.0056571372,8308.1,1767.7,1060.6,2651.5,176.8,707.1,353.5,883.8,8308.1,1767.7,4949.5,353.5,176.8,8308.1,0.0,8308.1,7424.2,707.1,0.0,176.8,0.0,0.0,0.0
"Block 4010, Block Group 4, Census Tract 36.03, Denver County, Colorado",48,14,18,0,3,48,42,6,48,39,2,0,0,0,0,7,7,0,08,031,003603,4010,080310036034010,14,10,9,7,6,1,1,0,14630,0,0.005648643,8497.6,2478.5,1593.3,1239.2,1062.2,177.0,177.0,0.0,8497.6,2478.5,3186.6,0.0,531.1,7435.4,1062.2,8497.6,6904.3,354.1,0.0,0.0,0.0,0.0,1239.2
"Block 4011, Block Group 4, Census Tract 36.03, Denver County, Colorado",58,14,18,3,3,58,43,15,58,25,22,0,0,0,6,5,5,0,08,031,003603,4011,080310036034011,14,3,25,2,6,3,5,0,14695,0,0.0056737395,10222.5,2467.5,4406.3,352.5,1057.5,528.8,881.3,0.0,10222.5,2467.5,3172.5,528.8,528.8,7578.8,2643.8,10222.5,4406.3,3877.5,0.0,0.0,0.0,1057.5,881.3
"Block 4012, Block Group 4, Census Tract 36.03, Denver County, Colorado",42,6,17,5,2,42,37,5,42,18,18,1,1,0,0,4,4,0,08,031,003603,4012,080310036034012,6,5,11,7,4,6,3,0,14634,0,0.0056501874,7433.4,1061.9,1946.8,1238.9,707.9,1061.9,531.0,0.0,7433.4,1061.9,3008.7,884.9,354.0,6548.5,884.9,7433.4,3185.7,3185.7,177.0,177.0,0.0,0.0,707.9
"Block 4013, Block Group 4, Census Tract 36.03, Denver County, Colorado",36,2,17,6,1,36,30,6,36,28,1,1,0,0,0,6,6,0,08,031,003603,4013,080310036034013,2,1,20,5,5,2,0,1,14547,0,0.0056165966999999995,6409.6,356.1,3560.9,890.2,890.2,356.1,0.0,178.0,6409.6,356.1,3026.7,1068.3,178.0,5341.3,1068.3,6409.6,4985.2,178.0,178.0,0.0,0.0,0.0,1068.3
